,tracking_id,datetime,windmill_generated_power(kW/h)
0,WM_19817,2019-04-17 08:53:20,3.4482206983026806
1,WM_18723,2019-03-30 07:43:20,5.533125819091701
2,WM_34552,2019-08-10 11:33:20,3.833364044830386
3,WM_28570,2019-06-26 03:53:20,4.098425818700653
4,WM_36934,2019-08-27 16:43:20,7.7432519275173695
5,WM_46,2018-10-29 04:43:20,9.943803756377015
6,WM_5545,2018-12-16 15:13:20,7.284393623684952
7,WM_6959,2018-12-27 01:53:20,8.159878519861016
8,WM_9565,2019-01-14 13:43:20,6.268490378406175
9,WM_33379,2019-08-02 03:33:20,4.541748581635219
10,WM_24358,2019-05-24 04:23:20,4.681569113668837
11,WM_38536,2019-09-10 00:23:20,7.220594248843591
12,WM_30740,2019-07-11 20:33:20,5.410704012857904
13,WM_32731,2019-07-28 12:23:20,5.265971954226741
14,WM_14062,2019-02-17 14:03:20,8.017173494880097
15,WM_15294,2019-02-27 03:03:20,6.965697106035304
16,WM_36014,2019-08-21 06:03:20,5.530590798434469
17,WM_5050,2018-12-11 01:23:20,5.510120481648018
18,WM_17819,2019-03-22 11:53:20,3.9209652982181407
19,WM_1759,2018-11-13 16:23:20,2.9878735384716006
20,WM_27254,2019-06-16 12:13:20,3.8976466705482675
21,WM_14482,2019-02-20 17:53:20,8.132244917692972
22,WM_40277,2019-09-23 05:03:20,7.654385426699573
23,WM_23364,2019-05-17 04:43:20,3.480238132676728
24,WM_35071,2019-08-14 02:53:20,5.480963908509156
25,WM_1240,2018-11-09 20:43:20,5.679716789366295
26,WM_193,2018-10-30 05:43:20,8.573534477932498
27,WM_31417,2019-07-16 15:23:20,6.733578577930529
28,WM_37853,2019-09-05 02:13:20,6.0316389903089425
29,WM_34415,2019-08-09 12:13:20,2.910788215456042
30,WM_20130,2019-04-22 05:03:20,6.07447611937094
31,WM_36985,2019-08-28 01:13:20,5.676339593819795
32,WM_32816,2019-07-29 02:53:20,4.812031457125107
33,WM_9659,2019-01-15 06:03:20,7.319160798107079
34,WM_34192,2019-08-07 22:13:20,5.349896935050351
35,WM_7124,2018-12-28 06:43:20,8.133350985298698
36,WM_35945,2019-08-20 18:33:20,6.4607645804926355
37,WM_29448,2019-07-02 12:43:20,6.221599133567374
38,WM_26129,2019-06-08 07:53:20,4.262645107144457
39,WM_3566,2018-11-29 22:53:20,7.396590437272772
40,WM_1340,2018-11-10 15:23:20,5.090044820282424
41,WM_14304,2019-02-19 08:33:20,6.505443822170769
42,WM_22513,2019-05-11 04:33:20,6.084846014150305
43,WM_15672,2019-03-01 19:03:20,9.746271762366572
44,WM_28793,2019-06-27 17:53:20,2.7436360671413076
45,WM_13683,2019-02-14 16:33:20,6.092867910227147
46,WM_8450,2019-01-06 15:23:20,9.054162265096673
47,WM_39606,2019-09-17 19:03:20,7.880128655369197
48,WM_33792,2019-08-05 01:43:20,5.695772757124575
49,WM_39434,2019-09-16 14:23:20,3.214278951112521
50,WM_16883,2019-03-14 00:13:20,4.334426828507845
51,WM_16423,2019-03-08 21:13:20,6.730615506653618
52,WM_19378,2019-04-07 14:43:20,5.6326672937111235
53,WM_35176,2019-08-14 20:23:20,7.7949285908530745
54,WM_39649,2019-09-18 02:13:20,7.219464436820974
55,WM_16624,2019-03-11 23:43:20,5.055546708769033
56,WM_25236,2019-05-31 15:13:20,3.391450858873365
57,WM_30165,2019-07-07 15:13:20,2.316671194583064
58,WM_11229,2019-01-26 21:13:20,7.916540786340345
59,WM_22495,2019-05-11 01:33:20,5.257120083557541
60,WM_1410,2018-11-11 03:43:20,4.093849027374204
61,WM_3502,2018-11-29 11:23:20,8.020722868799554
62,WM_11799,2019-02-01 03:53:20,8.503443828601245
63,WM_22334,2019-05-09 20:43:20,6.195088006191188
64,WM_37802,2019-09-04 17:43:20,7.578669018521949
65,WM_6663,2018-12-24 23:53:20,8.72748892996169
66,WM_29243,2019-07-01 01:43:20,6.471502368006066
67,WM_5320,2018-12-14 23:53:20,4.716396476286854
68,WM_16550,2019-03-10 15:43:20,5.460052263264183
69,WM_2183,2018-11-16 16:43:20,5.255281602276673
70,WM_3438,2018-11-29 00:33:20,6.909106345241021
71,WM_36325,2019-08-23 10:03:20,4.989758758273664
72,WM_8597,2019-01-07 16:23:20,6.74516862611262
73,WM_31833,2019-07-19 14:33:20,6.0210477079136435
74,WM_10149,2019-01-18 22:33:20,7.414007561637797
75,WM_38811,2019-09-11 22:23:20,9.054595678020727
76,WM_31073,2019-07-14 05:13:20,5.131193026072049
77,WM_1314,2018-11-10 11:03:20,8.36961099726326
78,WM_28386,2019-06-24 20:03:20,5.7034632667958185
79,WM_198,2018-10-30 06:33:20,9.569975606690718
80,WM_10525,2019-01-21 14:03:20,3.5248863620149673
81,WM_11900,2019-02-01 21:03:20,7.051331563863876
82,WM_18459,2019-03-27 07:03:20,6.373261642825492
83,WM_33737,2019-08-04 16:33:20,6.745685160986625
84,WM_1851,2018-11-14 08:03:20,4.203756230425416
85,WM_21673,2019-05-05 04:43:20,6.3071745370001056
86,WM_6566,2018-12-24 07:23:20,6.935278404799869
87,WM_36845,2019-08-27 01:53:20,4.187476745752375
88,WM_7916,2019-01-02 19:43:20,8.345682914028794
89,WM_27896,2019-06-21 06:43:20,4.758613514732225
90,WM_21392,2019-05-02 11:33:20,8.038540541065723
91,WM_27683,2019-06-19 18:13:20,6.029476646719005
92,WM_8769,2019-01-08 22:13:20,5.770921290284983
93,WM_30312,2019-07-08 17:53:20,4.611908539840833
94,WM_29472,2019-07-02 16:43:20,5.985559390560958
95,WM_3189,2018-11-27 06:33:20,9.325736893824185
96,WM_18130,2019-03-24 20:13:20,7.125374439023762
97,WM_36279,2019-08-23 02:23:20,5.8105896095712275
98,WM_28062,2019-06-22 12:03:20,6.710988377103682
99,WM_20790,2019-04-28 07:03:20,3.1366115149994487
100,WM_18167,2019-03-25 02:43:20,5.756698443825055
101,WM_1118,2018-11-08 18:03:20,7.702363616547771
102,WM_23657,2019-05-19 06:23:20,4.9052355384282444
103,WM_37530,2019-09-02 20:23:20,7.799670422384709
104,WM_29981,2019-07-06 08:03:20,3.8693989535959377
105,WM_40227,2019-09-22 20:43:20,8.059659159290147
106,WM_1525,2018-11-11 23:43:20,7.894572039300311
107,WM_2323,2018-11-17 16:13:20,4.78754399257911
108,WM_19419,2019-04-07 21:43:20,8.091667190977466
109,WM_18221,2019-03-25 13:43:20,3.8679870280634376
110,WM_22827,2019-05-13 10:53:20,3.8068234165442987
111,WM_37941,2019-09-05 16:53:20,6.807091418830136
112,WM_18696,2019-03-29 17:43:20,6.481660712575564
113,WM_39197,2019-09-14 22:33:20,7.903599887359045
114,WM_13378,2019-02-12 12:13:20,5.823328141685617
115,WM_29514,2019-07-02 23:53:20,4.800878039426406
116,WM_20666,2019-04-27 10:23:20,5.863131865126864
117,WM_1354,2018-11-10 17:43:20,3.7542695039069085
118,WM_39840,2019-09-19 10:03:20,6.61647922546111
119,WM_12741,2019-02-07 19:23:20,8.20077350490398
120,WM_11752,2019-01-31 20:03:20,8.956140107514177
121,WM_2001,2018-11-15 10:03:20,5.914462625829573
122,WM_19586,2019-04-09 05:13:20,5.31786601375455
123,WM_25038,2019-05-29 23:23:20,6.555688269606009
124,WM_39554,2019-09-17 10:23:20,2.588334790501337
125,WM_12904,2019-02-08 23:03:20,9.653535803540343
126,WM_36694,2019-08-26 00:23:20,6.897413734287137
127,WM_34522,2019-08-10 06:23:20,6.462438710846805
128,WM_8354,2019-01-05 22:33:20,7.089854189058991
129,WM_677,2018-11-05 06:43:20,3.9498967886939025
130,WM_25764,2019-06-05 13:13:20,5.605310225556017
131,WM_16078,2019-03-06 10:13:20,9.850113663025471
132,WM_7290,2018-12-29 10:23:20,8.875698460698892
133,WM_18298,2019-03-26 04:13:20,4.4138780420884265
134,WM_22074,2019-05-07 23:43:20,4.384430428893411
135,WM_28715,2019-06-27 04:43:20,6.571796172857517
136,WM_24669,2019-05-26 11:43:20,4.41067974120217
137,WM_27581,2019-06-18 21:13:20,5.400576606672619
138,WM_4217,2018-12-04 23:53:20,7.405257089755576
139,WM_1060,2018-11-08 08:03:20,3.6662301642163837
140,WM_11788,2019-02-01 02:03:20,8.30956698072964
141,WM_5520,2018-12-16 11:03:20,6.179496623471758
142,WM_13297,2019-02-11 21:03:20,7.763301976403829
143,WM_14468,2019-02-20 15:33:20,8.77371534108489
144,WM_38965,2019-09-13 00:03:20,6.864005707267017
145,WM_33740,2019-08-04 17:03:20,5.743641584648564
146,WM_24325,2019-05-23 22:13:20,4.839773697250416
147,WM_7300,2018-12-29 12:03:20,7.732998394158349
148,WM_25751,2019-06-05 10:53:20,5.946652591966544
149,WM_4599,2018-12-07 19:13:20,9.158710752406295
150,WM_13819,2019-02-15 19:23:20,6.9540235624968565
151,WM_1400,2018-11-11 02:03:20,7.179820968687453
152,WM_5810,2018-12-18 13:03:20,7.355146466110639
153,WM_31877,2019-07-19 21:53:20,5.642152711291016
154,WM_6638,2018-12-24 19:43:20,8.2708408560848
155,WM_21861,2019-05-06 12:13:20,5.92020923956603
156,WM_38854,2019-09-12 05:33:20,9.143001799877599
157,WM_35192,2019-08-14 23:03:20,5.822210505386622
158,WM_15524,2019-02-28 18:13:20,8.86432984969828
159,WM_39762,2019-09-18 21:03:20,8.077221316233675
