,tracking_id,datetime,windmill_generated_power(kW/h)
0,WM_19817,2019-04-17 08:53:20,1706303196.3307774
1,WM_18723,2019-03-30 07:43:20,2234612166.9809237
2,WM_34552,2019-08-10 11:33:20,2583194873.651334
3,WM_28570,2019-06-26 03:53:20,3056790906.3241854
4,WM_36934,2019-08-27 16:43:20,2535114843.978116
5,WM_46,2018-10-29 04:43:20,2859875259.738858
6,WM_5545,2018-12-16 15:13:20,-2243921018.4119005
7,WM_6959,2018-12-27 01:53:20,-117035920.21524324
8,WM_9565,2019-01-14 13:43:20,-1443772690.2805526
9,WM_33379,2019-08-02 03:33:20,2006805872.229215
10,WM_24358,2019-05-24 04:23:20,-2243921021.0139513
11,WM_38536,2019-09-10 00:23:20,-2544423693.2606535
12,WM_30740,2019-07-11 20:33:20,3056790907.6313143
13,WM_32731,2019-07-28 12:23:20,3160377929.8379793
14,WM_14062,2019-02-17 14:03:20,1706303200.9245274
15,WM_15294,2019-02-27 03:03:20,2583194876.7913485
16,WM_36014,2019-08-21 06:03:20,2883697550.143155
17,WM_5050,2018-12-11 01:23:20,3733272630.13461
18,WM_17819,2019-03-22 11:53:20,-1744275367.4220302
19,WM_1759,2018-11-13 16:23:20,-1326624792.4570644
20,WM_27254,2019-06-16 12:13:20,2006805871.5751622
21,WM_14482,2019-02-20 17:53:20,-1026122112.5079697
22,WM_40277,2019-09-23 05:03:20,2583194877.4838533
23,WM_23364,2019-05-17 04:43:20,401274492.57284266
24,WM_35071,2019-08-14 02:53:20,-1744275365.8530605
25,WM_1240,2018-11-09 20:43:20,2756288233.1126375
26,WM_193,2018-10-30 05:43:20,-1326624786.8531826
27,WM_31417,2019-07-16 15:23:20,2859875256.519864
28,WM_37853,2019-09-05 02:13:20,1072099288.9670078
29,WM_34415,2019-08-09 12:13:20,3733272627.5192537
30,WM_20130,2019-04-22 05:03:20,2234612167.5188875
31,WM_36985,2019-08-28 01:13:20,-1744275365.6554286
32,WM_32816,2019-07-29 02:53:20,-1744275366.520541
33,WM_9659,2019-01-15 06:03:20,183466753.7308017
34,WM_34192,2019-08-07 22:13:20,1372601963.0675938
35,WM_7124,2018-12-28 06:43:20,1005564036.6719638
36,WM_35945,2019-08-20 18:33:20,-2243921019.237584
37,WM_29448,2019-07-02 12:43:20,1232699964.3642247
38,WM_26129,2019-06-08 07:53:20,-117035924.11062898
39,WM_3566,2018-11-29 22:53:20,401274496.4878817
40,WM_1340,2018-11-10 15:23:20,2234612166.524747
41,WM_14304,2019-02-19 08:33:20,2234612167.9563875
42,WM_22513,2019-05-11 04:33:20,1372601963.7976964
43,WM_15672,2019-03-01 19:03:20,100771824.0592929
44,WM_28793,2019-06-27 17:53:20,-2243921022.972081
45,WM_13683,2019-02-14 16:33:20,2756288233.5309725
46,WM_8450,2019-01-06 15:23:20,-2544423691.4237394
47,WM_39606,2019-09-17 19:03:20,2583194877.7046785
48,WM_33792,2019-08-05 01:43:20,2234612167.1457186
49,WM_39434,2019-09-16 14:23:20,-2544423697.2833586
50,WM_16883,2019-03-14 00:13:20,1706303197.229459
51,WM_16423,2019-03-08 21:13:20,2006805874.4181798
52,WM_19378,2019-04-07 14:43:20,2535114841.859708
53,WM_35176,2019-08-14 20:23:20,-2243921017.898473
54,WM_39649,2019-09-18 02:13:20,2006805874.9049962
55,WM_16624,2019-03-11 23:43:20,401274494.15182215
56,WM_25236,2019-05-31 15:13:20,100771817.70089446
57,WM_30165,2019-07-07 15:13:20,100771816.61214934
58,WM_11229,2019-01-26 21:13:20,-117035920.45779695
59,WM_22495,2019-05-11 01:33:20,-10342146.85867585
60,WM_1410,2018-11-11 03:43:20,2883697548.690152
61,WM_3502,2018-11-29 11:23:20,932197291.3802158
62,WM_11799,2019-02-01 03:53:20,183466754.91854584
63,WM_22334,2019-05-09 20:43:20,-1326624789.230868
64,WM_37802,2019-09-04 17:43:20,-2544423692.8910246
65,WM_6663,2018-12-24 23:53:20,2006805876.4139073
66,WM_29243,2019-07-01 01:43:20,2234612167.9178133
67,WM_5320,2018-12-14 23:53:20,1372601962.4317296
68,WM_16550,2019-03-10 15:43:20,2883697550.0689363
69,WM_2183,2018-11-16 16:43:20,3733272629.8786287
70,WM_3438,2018-11-29 00:33:20,2535114843.132413
71,WM_36325,2019-08-23 10:03:20,2535114841.210904
72,WM_8597,2019-01-07 16:23:20,-10342145.37808503
73,WM_31833,2019-07-19 14:33:20,183466752.4375888
74,WM_10149,2019-01-18 22:33:20,1072099290.3366367
75,WM_38811,2019-09-11 22:23:20,2883697553.670499
76,WM_31073,2019-07-14 05:13:20,183466751.5450107
77,WM_1314,2018-11-10 11:03:20,-1026122112.2698106
78,WM_28386,2019-06-24 20:03:20,100771820.01962005
79,WM_198,2018-10-30 06:33:20,2234612171.0151033
80,WM_10525,2019-01-21 14:03:20,-1443772693.0493515
81,WM_11900,2019-02-01 21:03:20,2234612168.488492
82,WM_18459,2019-03-27 07:03:20,705061360.1249667
83,WM_33737,2019-08-04 16:33:20,183466753.15279877
84,WM_1851,2018-11-14 08:03:20,-1443772692.360875
85,WM_21673,2019-05-05 04:43:20,-117035922.06863679
86,WM_6566,2018-12-24 07:23:20,2859875256.7287264
87,WM_36845,2019-08-27 01:53:20,3056790906.401334
88,WM_7916,2019-01-02 19:43:20,1372601966.0545323
89,WM_27896,2019-06-21 06:43:20,2535114840.986539
90,WM_21392,2019-05-02 11:33:20,2234612169.4892244
91,WM_27683,2019-06-19 18:13:20,-1326624789.3995693
92,WM_8769,2019-01-08 22:13:20,2756288233.210538
93,WM_30312,2019-07-08 17:53:20,2883697549.2188387
94,WM_29472,2019-07-02 16:43:20,1072099288.9183017
95,WM_3189,2018-11-27 06:33:20,2234612170.7756014
96,WM_18130,2019-03-24 20:13:20,-1026122113.5182236
97,WM_36279,2019-08-23 02:23:20,3432769955.6538973
98,WM_28062,2019-06-22 12:03:20,-1744275364.621493
99,WM_20790,2019-04-28 07:03:20,3160377927.688077
100,WM_18167,2019-03-25 02:43:20,-1326624789.6688564
101,WM_1118,2018-11-08 18:03:20,100771822.01742278
102,WM_23657,2019-05-19 06:23:20,-2544423695.5718107
103,WM_37530,2019-09-02 20:23:20,1072099290.7391025
104,WM_29981,2019-07-06 08:03:20,1372601961.5907872
105,WM_40227,2019-09-22 20:43:20,2859875257.84628
106,WM_1525,2018-11-11 23:43:20,2535114844.1281404
107,WM_2323,2018-11-17 16:13:20,1072099287.7074863
108,WM_19419,2019-04-07 21:43:20,-1326624787.3293788
109,WM_18221,2019-03-25 13:43:20,100771818.16573821
110,WM_22827,2019-05-13 10:53:20,-117035924.57815827
111,WM_37941,2019-09-05 16:53:20,2006805874.4875157
112,WM_18696,2019-03-29 17:43:20,2006805874.16525
113,WM_39197,2019-09-14 22:33:20,3056790910.1338778
114,WM_13378,2019-02-12 12:13:20,3056790908.046109
115,WM_29514,2019-07-02 23:53:20,-1326624790.628085
116,WM_20666,2019-04-27 10:23:20,1372601963.5774815
117,WM_1354,2018-11-10 17:43:20,-1744275367.5984218
118,WM_39840,2019-09-19 10:03:20,100771820.92989837
119,WM_12741,2019-02-07 19:23:20,1072099291.130582
120,WM_11752,2019-01-31 20:03:20,-2544423691.523593
121,WM_2001,2018-11-15 10:03:20,1706303198.816129
122,WM_19586,2019-04-09 05:13:20,2006805872.998624
123,WM_25038,2019-05-29 23:23:20,-2243921019.1395617
124,WM_39554,2019-09-17 10:23:20,2756288230.009488
125,WM_12904,2019-02-08 23:03:20,2535114845.8903475
126,WM_36694,2019-08-26 00:23:20,-1026122113.7506455
127,WM_34522,2019-08-10 06:23:20,2883697551.0793123
128,WM_8354,2019-01-05 22:33:20,3160377931.658414
129,WM_677,2018-11-05 06:43:20,2535114840.160611
130,WM_25764,2019-06-05 13:13:20,2006805873.2860997
131,WM_16078,2019-03-06 10:13:20,290160532.5208407
132,WM_7290,2018-12-29 10:23:20,100771823.19161712
133,WM_18298,2019-03-26 04:13:20,-1026122116.2422227
134,WM_22074,2019-05-07 23:43:20,290160527.049161
135,WM_28715,2019-06-27 04:43:20,2859875256.3570223
136,WM_24669,2019-05-26 11:43:20,-1443772692.1361434
137,WM_27581,2019-06-18 21:13:20,3056790907.632657
138,WM_4217,2018-12-04 23:53:20,1372601965.121915
139,WM_1060,2018-11-08 08:03:20,1706303196.552213
140,WM_11788,2019-02-01 02:03:20,1232699966.4617589
141,WM_5520,2018-12-16 11:03:20,-2544423694.294467
142,WM_13297,2019-02-11 21:03:20,-117035920.60220613
143,WM_14468,2019-02-20 15:33:20,2006805876.4640782
144,WM_38965,2019-09-13 00:03:20,3160377931.4301424
145,WM_33740,2019-08-04 17:03:20,3432769955.571622
146,WM_24325,2019-05-23 22:13:20,-2544423695.6411467
147,WM_7300,2018-12-29 12:03:20,3160377932.298917
148,WM_25751,2019-06-05 10:53:20,2583194875.776456
149,WM_4599,2018-12-07 19:13:20,290160531.8378573
150,WM_13819,2019-02-15 19:23:20,2883697551.56857
151,WM_1400,2018-11-11 02:03:20,-2544423693.298373
152,WM_5810,2018-12-18 13:03:20,2006805875.0375645
153,WM_31877,2019-07-19 21:53:20,-117035922.72708406
154,WM_6638,2018-12-24 19:43:20,-2243921017.433263
155,WM_21861,2019-05-06 12:13:20,1706303198.8204014
156,WM_38854,2019-09-12 05:33:20,2234612170.597867
157,WM_35192,2019-08-14 23:03:20,-10342146.286166085
158,WM_15524,2019-02-28 18:13:20,-1026122111.7834824
159,WM_39762,2019-09-18 21:03:20,1072099291.0136386
160,WM_1677,2018-11-13 01:23:20,2583194876.3783846
161,WM_30487,2019-07-10 01:03:20,1232699963.6536534
162,WM_28108,2019-06-22 19:53:20,-1443772689.5735214
163,WM_1173,2018-11-09 04:33:20,2006805874.911832
164,WM_38104,2019-09-06 20:03:20,1372601966.2493565
165,WM_33708,2019-08-04 11:43:20,932197289.6623203
166,WM_5710,2018-12-17 19:43:20,705061361.1944247
167,WM_9131,2019-01-11 11:43:20,-2544423692.6752043
168,WM_27368,2019-06-17 08:33:20,1232699962.2719395
169,WM_6290,2018-12-22 02:23:20,1005564037.8548251
170,WM_39569,2019-09-17 12:53:20,2535114843.802335
171,WM_4462,2018-12-06 19:33:20,2006805876.5649083
172,WM_18269,2019-03-25 23:23:20,2006805871.4212315
173,WM_20718,2019-04-27 19:03:20,3432769956.616544
174,WM_9069,2019-01-11 01:23:20,-10342143.486849679
175,WM_40064,2019-09-21 17:33:20,-117035920.56021394
176,WM_18319,2019-03-26 07:43:20,2535114844.5867586
177,WM_19859,2019-04-17 16:13:20,1232699965.6681798
178,WM_8317,2019-01-05 16:23:20,1232699966.3277256
179,WM_37997,2019-09-06 02:13:20,-2544423693.438632
180,WM_27496,2019-06-18 06:33:20,3160377928.775113
181,WM_35835,2019-08-20 00:13:20,-1026122114.5994004
182,WM_25495,2019-06-02 18:53:20,1072099285.1481601
183,WM_6754,2018-12-25 15:03:20,-2243921016.899083
184,WM_8914,2019-01-09 23:03:20,1072099290.6564609
185,WM_3385,2018-11-28 15:43:20,100771818.25570403
186,WM_22206,2019-05-08 22:13:20,932197288.8965732
187,WM_18913,2019-04-03 21:33:20,3432769955.6302156
188,WM_19326,2019-04-07 06:03:20,2234612167.7409334
189,WM_23644,2019-05-19 04:13:20,1232699962.2635167
190,WM_9260,2019-01-12 09:23:20,2234612166.5813875
191,WM_10714,2019-01-23 06:13:20,1005564037.9721347
192,WM_16480,2019-03-09 07:23:20,3160377931.7548494
193,WM_16011,2019-03-05 21:43:20,2883697550.1819735
194,WM_5670,2018-12-17 13:03:20,3432769957.7862215
195,WM_10261,2019-01-19 17:43:20,-1326624789.039584
196,WM_13790,2019-02-15 14:33:20,183466755.4837314
197,WM_9508,2019-01-14 03:33:20,932197288.9429599
198,WM_22379,2019-05-10 04:13:20,290160526.30392176
199,WM_3630,2018-11-30 09:33:20,290160529.8246737
200,WM_10125,2019-01-18 18:13:20,-117035918.53579988
201,WM_3133,2018-11-26 20:53:20,3160377931.618375
202,WM_18004,2019-03-23 21:13:20,2535114842.7255526
203,WM_33780,2019-08-04 23:43:20,1005564035.1756259
204,WM_9635,2019-01-15 01:43:20,-2243921019.3253527
205,WM_2136,2018-11-16 08:53:20,3432769957.0653963
206,WM_34206,2019-08-08 00:53:20,2006805874.3153965
207,WM_26358,2019-06-09 23:23:20,-2544423695.2731047
208,WM_40254,2019-09-23 01:13:20,-10342144.573885811
209,WM_2076,2018-11-15 22:33:20,-2243921020.5198107
210,WM_16588,2019-03-11 17:33:20,3160377930.31796
211,WM_9829,2019-01-16 12:13:20,3056790910.5309725
212,WM_22649,2019-05-12 03:13:20,-1443772691.4884384
213,WM_22220,2019-05-09 00:33:20,-1026122114.6669053
214,WM_18785,2019-03-31 16:03:20,3056790909.486539
215,WM_6446,2018-12-23 10:53:20,290160529.19039637
216,WM_29059,2019-06-29 17:53:20,2006805873.0135167
217,WM_19253,2019-04-06 14:53:20,1232699963.703458
218,WM_37900,2019-09-05 10:03:20,705061360.3670322
219,WM_25225,2019-05-31 13:13:20,-2243921022.7781115
220,WM_15766,2019-03-04 01:13:20,3432769957.0585604
221,WM_34279,2019-08-08 13:13:20,-1744275368.6477382
222,WM_9194,2019-01-11 22:13:20,-1326624789.1598232
223,WM_23326,2019-05-16 22:23:20,183466752.32516205
224,WM_23542,2019-05-18 10:33:20,3432769955.0693026
225,WM_12718,2019-02-07 15:33:20,2859875255.858609
226,WM_4399,2018-12-06 08:53:20,2006805875.4336827
227,WM_23700,2019-05-19 13:33:20,1005564034.4330722
228,WM_29570,2019-07-03 09:13:20,3056790906.576993
229,WM_28486,2019-06-25 13:13:20,1232699964.4939854
230,WM_36744,2019-08-26 08:43:20,3056790906.9906893
231,WM_10169,2019-01-19 02:03:20,290160531.50008875
232,WM_13102,2019-02-10 10:43:20,-2544423696.2211027
233,WM_18420,2019-03-27 00:33:20,2234612166.66879
234,WM_11345,2019-01-28 22:43:20,932197290.8947421
235,WM_20937,2019-04-29 07:33:20,183466750.3335849
236,WM_19732,2019-04-16 18:43:20,2234612163.518155
237,WM_30163,2019-07-07 14:53:20,-2544423697.7118254
238,WM_31465,2019-07-16 23:33:20,3733272629.0730867
239,WM_34020,2019-08-06 16:43:20,2859875255.3903475
240,WM_37916,2019-09-05 12:43:20,-2243921019.5749865
241,WM_25289,2019-06-01 01:33:20,3160377926.7895174
242,WM_10656,2019-01-22 19:33:20,2535114843.8730135
243,WM_33961,2019-08-06 06:53:20,183466751.49630463
244,WM_38983,2019-09-13 10:53:20,3160377929.089444
245,WM_29326,2019-07-01 15:43:20,-45313202072.00261
246,WM_22058,2019-05-07 21:03:20,183466751.98678315
